代码,时间,开盘价,最高价,最低价,收盘价,成交量,成交额
SZ399357,2015-08-05,3600.9800,3625.1100,3549.9600,3551.5200,5703984400,59119001600.00
SZ399358,2015-08-05,4012.3300,4070.0400,3948.8600,3966.3300,1774668000,26780741632.00
SZ399359,2015-08-05,3647.3500,3702.1600,3593.1100,3608.4800,4559467600,46756454400.00
SZ399360,2015-08-05,8059.5200,8228.8600,7872.3600,7956.1100,3962533600,72623382528.00
SZ399361,2015-08-05,7692.6900,7797.2500,7577.2600,7623.6500,956628200,14366797824.00
SZ399362,2015-08-05,6850.3700,6914.9800,6712.7000,6735.7300,6368381200,117353168896.00
SZ399363,2015-08-05,5679.4000,5747.3800,5519.4500,5563.9300,2470555200,67358490624.00
SZ399364,2015-08-05,6543.6100,6576.6500,6396.2600,6419.6800,3571889600,62219558912.00
SZ399365,2015-08-05,6691.3000,6714.1900,6521.4800,6568.1900,1652064400,25883627520.00
SZ399366,2015-08-05,2708.2000,2734.2100,2649.8200,2665.8500,5115694000,48983076864.00
SZ399367,2015-08-05,7303.3400,7331.7600,7099.6500,7125.9400,2346590800,31260026880.00
SZ399368,2015-08-05,11901.3900,12099.8400,11442.4800,11676.1700,2859199400,67857440768.00
SZ399369,2015-08-05,1398.6200,1415.0200,1376.8400,1381.0100,5211271200,70128394240.00
SZ399370,2015-08-05,4708.7900,4741.0400,4618.9700,4628.7600,8974552800,159288983552.00
SZ399371,2015-08-05,6107.6800,6154.9800,6006.3400,6022.6200,17544833600,185126912000.00
SZ399372,2015-08-05,3960.8900,3971.5300,3885.0400,3885.0400,3657177600,58272808960.00
SZ399373,2015-08-05,6269.5900,6289.0800,6170.3600,6171.8400,6951347200,67719274496.00
SZ399374,2015-08-05,5586.2600,5653.4400,5476.4700,5507.1700,2440830800,44541624320.00
SZ399375,2015-08-05,7431.5900,7551.8500,7284.4700,7344.0700,5565682400,61479165952.00
SZ399376,2015-08-05,7949.8000,8068.8200,7784.5600,7836.1900,2876544000,56474537984.00
SZ399377,2015-08-05,7566.6300,7683.9400,7411.0200,7490.0800,5027803200,55928479744.00
SZ399378,2015-08-05,2130.1300,2154.7900,2093.7700,2105.4000,4115817200,52391010304.00
SZ399379,2015-08-05,7054.5100,7089.9600,6948.9000,6980.0000,26092568000,27084304384.00
SZ399380,2015-08-05,1343.9500,1346.9900,1318.5100,1320.7600,2411177000,7647779328.00
SZ399381,2015-08-05,3343.3000,3378.3300,3276.8100,3299.6000,2067042800,22355806208.00
SZ399382,2015-08-05,2818.3600,2862.9500,2774.6800,2794.8200,6151378400,66327502848.00
SZ399383,2015-08-05,3841.4200,3918.4200,3769.4000,3803.1500,12333920000,172411764736.00
SZ399384,2015-08-05,4596.6300,4631.6400,4495.2200,4518.0500,3906448800,60260810752.00
SZ399385,2015-08-05,5834.7000,5874.1700,5703.9700,5738.6700,1536389400,27097231360.00
SZ399386,2015-08-05,6705.6400,6781.4400,6594.6200,6632.1700,1509982400,31925467136.00
SZ399387,2015-08-05,4832.5600,4842.1500,4739.7200,4739.8000,6078288800,79681191936.00
SZ399388,2015-08-05,4731.4400,4784.2800,4599.2600,4633.3000,4012690000,85605769216.00
